IATA_CODE,AIRPORT,STATE,JUL2015_TOTAL_mm,RAINED_IN_JULY2015
GEG,Spokane International Airport,WA,4.9,1
GFK,Grand Forks International Airport,ND,83.2,1
GGG,East Texas Regional Airport,TX,3.9,1
GJT,Grand Junction Regional Airport?(Walker Field),CO,31.7,1
GNV,Gainesville Regional Airport,FL,205.5,1
GPT,Gulfport-Biloxi International Airport,MS,146.7,1
GRB,Green Bay-Austin Straubel International Airport,WI,45.7,1
GRI,Central Nebraska Regional Airport,NE,65.5,1
GRK,Killeen-Fort Hood Regional Airport,TX,0,0
GRR,Gerald R. Ford International Airport,MI,56.7,1
GSO,Piedmont Triad International Airport,NC,85,1
GSP,Greenville-Spartanburg International Airport,SC,22.2,1
GST,Gustavus Airport,AK,221.6,1
GTF,Great Falls International Airport,MT,36.6,1
GTR,Golden Triangle Regional Airport,MS,0,0
GUC,Gunnison-Crested Butte Regional Airport,CO,0,0
GUM,Guam International Airport,GU,204.6,1
HDN,Yampa Valley Airport?(Yampa Valley Regional),CO,0,0
HIB,Range Regional Airport?(Chisholm-Hibbing Airport),MN,29.3,1
HLN,Helena Regional Airport,MT,32.7,1
HNL,Honolulu International Airport,HI,0,0
HOB,Lea County Regional Airport,NM,0,0
HOU,William P. Hobby Airport,TX,0,0
HPN,Westchester County Airport,NY,41.7,1
HRL,Valley International Airport,TX,28.5,1
HSV,Huntsville International Airport,AL,147.7,1
HYA,Barnstable Municipal Airport,MA,47.6,1
HYS,Hays Regional Airport,KS,0,0
IAD,Washington Dulles International Airport,VA,124.2,1
IAG,Niagara Falls International Airport,NY,17.5,1
IAH,George Bush Intercontinental Airport,TX,15.5,1
ICT,Wichita Dwight D. Eisenhower National Airport?(Wichita Mid-Continent Airport),KS,0,0
IDA,Idaho Falls Regional Airport,ID,7.9,1
ILG,Wilmington Airport,DE,58.9,1
ILM,Wilmington International Airport,NC,84.2,1
IMT,Ford Airport,MI,1.9,1
IND,Indianapolis International Airport,IN,115.1,1
INL,Falls International Airport,MN,37.4,1
ISN,Sloulin Field International Airport,ND,39.3,1
ISP,Long Island MacArthur Airport,NY,44.3,1
ITH,Ithaca Tompkins Regional Airport,NY,0,0
ITO,Hilo International Airport,HI,204.6,1
JAC,Jackson Hole Airport,WY,31.7,1
JAN,Jackson-Evers International Airport,MS,37.8,1
JAX,Jacksonville International Airport,FL,121.3,1
JFK,John F. Kennedy International Airport?(New York International Airport),NY,58.7,1
JLN,Joplin Regional Airport,MO,4,1
JMS,Jamestown Regional Airport,ND,64.2,1
JNU,Juneau International Airport,AK,264.5,1
KOA,Kona International Airport at Keahole,HI,7.2,1
KTN,Ketchikan International Airport,AK,197.7,1
LAN,Capital Region International Airport?( Lansing Capital City),MI,60.8,1
LAR,Laramie Regional Airport,WY,0,0
LAS,McCarran International Airport,NV,4.9,1
LAW,Lawton-Fort Sill Regional Airport,OK,0,0
LAX,Los Angeles International Airport,CA,8.9,1
LBB,Lubbock Preston Smith International Airport,TX,100.5,1
LBE,Arnold Palmer Regional Airport,PA,0,0
LCH,Lake Charles Regional Airport,LA,0,0
LEX,Blue Grass Airport,KY,245.4,1
LFT,Lafayette Regional Airport,LA,39.6,1
LGA,LaGuardia Airport (Marine Air Terminal),NY,0,0
LGB,Long Beach Airport?(Daugherty Field),CA,13.7,1
LIH,Lihue Airport,HI,20.2,1
LIT,Bill and Hillary Clinton National Airport?(Adams Field),AR,0,0
LNK,Lincoln Airport?(Lincoln Municipal),NE,60.8,1
LRD,Laredo International Airport,TX,1.5,1
LSE,La Crosse Regional Airport,WI,92.1,1
LWS,Lewiston-Nez Perce County Airport,ID,0.5,1
MAF,Midland International Airport,TX,18.4,1
MBS,MBS International Airport,MI,13.6,1
MCI,Kansas City International Airport,MO,171.5,1
MCO,Orlando International Airport,FL,132.9,1
MDT,Harrisburg International Airport,PA,68.2,1
MDW,Chicago Midway International Airport,IL,63.3,1
MEI,Meridian Regional Airport,MS,90.6,1
MEM,Memphis International Airport,TN,131.4,1
MFE,McAllen-Miller International Airport?(McAllen Miller International),TX,0,0
MFR,Rogue Valley International Airport,OR,7.4,1
MGM,Montgomery Regional Airport,AL,0,0
MHK,Manhattan Regional Airport,KS,51.5,1
MHT,Manchester-Boston Regional Airport,NH,0,0
MIA,Miami International Airport,FL,150.2,1
MKE,General Mitchell International Airport,WI,40.7,1
MKG,Muskegon County Airport,MI,128.4,1
MLB,Melbourne International Airport,FL,270.7,1
MLI,Quad City International Airport,IL,86.8,1
MLU,Monroe Regional Airport,LA,2.8,1
MMH,Mammoth Yosemite Airport,CA,0,0
MOB,Mobile Regional Airport,AL,173.8,1
MOT,Minot International Airport,ND,46.1,1
MQT,Sawyer International Airport,MI,0,0
MRY,Monterey Regional Airport?(Monterey Peninsula Airport),CA,0,0
MSN,Dane County Regional Airport,WI,0,0
MSO,Missoula International Airport,MT,38.6,1
MSP,Minneapolis-Saint Paul International Airport,MN,186,1
MSY,Louis Armstrong New Orleans International Airport,LA,105.9,1
MTJ,Montrose Regional Airport,CO,5.7,1
MVY,Martha's Vineyard Airport,MA,37.3,1
MYR,Myrtle Beach International Airport,SC,0,0
OAJ,Albert J. Ellis Airport,NC,0,0
OAK,Oakland International Airport,CA,0.3,1
OGG,Kahului Airport,HI,21.2,1
OKC,Will Rogers World Airport,OK,185.8,1
OMA,Eppley Airfield,NE,61,1
OME,Nome Airport,AK,36.7,1
ONT,Ontario International Airport,CA,0,0
ORD,Chicago O'Hare International Airport,IL,72.4,1
ORF,Norfolk International Airport,VA,201.6,1
ORH,Worcester Regional Airport,MA,72.8,1
OTH,Southwest Oregon Regional Airport?(North Bend Municipal),OR,0,0
OTZ,Ralph Wien Memorial Airport,AK,9,1
PAH,Barkley Regional Airport,KY,264.7,1
PBG,Plattsburgh International Airport,NY,0,0
PBI,Palm Beach International Airport,FL,153.5,1
PDX,Portland International Airport,OR,14.5,1
PHF,Newport News/Williamsburg International Airport,VA,82.3,1
PHL,Philadelphia International Airport,PA,80.2,1
PHX,Phoenix Sky Harbor International Airport,AZ,28.7,1
PIA,General Wayne A. Downing Peoria International Airport,IL,148.5,1
PIB,Hattiesburg-Laurel Regional Airport,MS,0,0
PIH,Pocatello Regional Airport,ID,35.2,1
PIT,Pittsburgh International Airport,PA,91.8,1
PLN,Pellston Regional Airport of Emmet County,MI,6.2,1
PNS,Pensacola International Airport?(Pensacola Gulf Coast Regional Airport),FL,0,0
PPG,Pago Pago International Airport (Tafuna Airport),AS,0,0
PSC,Tri-Cities Airport,WA,0,0
PSE,Mercedita Airport,PR,0,0
PSG,Petersburg James A. Johnson Airport,AK,272.7,1
PSP,Palm Springs International Airport,CA,0,0
PUB,Pueblo Memorial Airport,CO,16.3,1
PVD,Theodore Francis Green State Airport,RI,59.6,1
PWM,Portland International Jetport,ME,32,1
RAP,Rapid City Regional Airport,SD,101.9,1
RDD,Redding Municipal Airport,CA,1,1
RDM,Redmond Municipal Airport?(Roberts Field),OR,0,0
RDU,Raleigh-Durham International Airport,NC,127.3,1
RHI,Rhinelander-Oneida County Airport,WI,49.1,1
RIC,Richmond International Airport,VA,149.6,1
RKS,Rock Springs-Sweetwater County Airport,WY,64.1,1
RNO,Reno/Tahoe International Airport,NV,13,1
ROA,Roanoke Regional Airport?(Woodrum Field),VA,109,1
ROC,Greater Rochester International Airport,NY,90.6,1
ROW,Roswell International Air Center,NM,19.9,1
RST,Rochester International Airport,MN,125.5,1
RSW,Southwest Florida International Airport,FL,180.8,1
SAF,Santa Fe Municipal Airport,NM,24.8,1
SAN,San Diego International Airport?(Lindbergh Field),CA,43.6,1
SAT,San Antonio International Airport,TX,1.8,1
SAV,Savannah/Hilton Head International Airport,GA,0,0
SBA,Santa Barbara Municipal Airport?(Santa Barbara Airport),CA,0.3,1
SBN,South Bend International Airport?(South Bend Regional),IN,121.7,1
SBP,San Luis Obispo County Regional Airport?(McChesney Field),CA,5.8,1
SCC,Deadhorse Airport?(Prudhoe Bay Airport),AK,0.8,1
SCE,University Park Airport,PA,0,0
SDF,Louisville International Airport?(Standiford Field),KY,219.7,1
SEA,Seattle-Tacoma International Airport,WA,2.3,1
SFO,San Francisco International Airport,CA,0,0
SGF,Springfield-Branson National Airport,MO,233.9,1
SGU,St. George Regional Airport,UT,0,0
SHV,Shreveport Regional Airport,LA,13.9,1
SIT,Sitka Rocky Gutierrez Airport,AK,270.1,1
SJC,Norman Y. Mineta San Jos¨¦ International Airport,CA,0,0
SJT,San Angelo Regional Airport?(Mathis Field),TX,14,1
SJU,Luis Mu?oz Mar¨ªn International Airport,PR,40.9,1
SLC,Salt Lake City International Airport,UT,31,1
SMF,Sacramento International Airport,CA,0,0
SMX,Santa Maria Public Airport?(Capt G. Allan Hancock Field),CA,3.6,1
SNA,John Wayne Airport?(Orange County Airport),CA,12,1
SPI,Abraham Lincoln Capital Airport,IL,105.7,1
SPS,Wichita Falls Municipal Airport/Sheppard AFB,TX,70.9,1
SRQ,Sarasota-Bradenton International Airport,FL,60.5,1
STC,St. Cloud Regional Airport,MN,182.4,1
STL,St. Louis International Airport at Lambert Field,MO,70.1,1
STT,Cyril E. King Airport,VI,5.7,1
STX,Henry E. Rohlsen Airport,VI,0,0
SUN,Friedman Memorial Airport,ID,0,0
SUX,Sioux Gateway Airport,IA,144.2,1
SWF,Stewart International Airport,NY,0,0
SYR,Syracuse Hancock International Airport,NY,85.7,1
TLH,Tallahassee International Airport,FL,0,0
TOL,Toledo Express Airport,OH,156.5,1
TPA,Tampa International Airport,FL,301,1
TRI,Tri-Cities Regional Airport,TN,147.1,1
TTN,Trenton Mercer Airport,NJ,11.9,1
TUL,Tulsa International Airport,OK,170.8,1
TUS,Tucson International Airport,AZ,52.9,1
TVC,Cherry Capital Airport,MI,5.1,1
TWF,Magic Valley Regional Airport?(Joslin Field),ID,5.9,1
TXK,Texarkana Regional Airport?(Webb Field),AR,53.3,1
TYR,Tyler Pounds Regional Airport,TX,1,1
TYS,McGhee Tyson Airport,TN,165.2,1
UST,Northeast Florida Regional Airport?(St. Augustine Airport),FL,0,0
VEL,Valdez Airport,UT,11,1
VLD,Valdosta Regional Airport,GA,125.2,1
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,FL,0,0
WRG,Wrangell Airport,AK,0,0
WYS,Westerly State Airport,MT,0,0
XNA,Northwest Arkansas Regional Airport,AR,44.2,1
YAK,Yakutat Airport,AK,300.2,1
YUM,Yuma International Airport,AZ,0,0
